,Period,Full_descriptions
0,Tonight,"Isolated showers and thunderstorms after midnight.  Partly cloudy, with a low around 74. South southeast wind around 5 mph.  Chance of precipitation is 20%."
1,Sunday,"A 20 percent chance of showers and thunderstorms before noon.  Mostly sunny, with a high near 88. Southeast wind 5 to 10 mph. "
2,Sunday Night,"Partly cloudy, with a low around 71. South southwest wind 5 to 10 mph becoming light and variable  after midnight. "
3,Monday,"Mostly sunny, with a high near 90. South southeast wind around 5 mph becoming southwest in the afternoon. "
4,Monday Night,"Mostly clear, with a low around 72. Southwest wind around 5 mph becoming calm  after midnight. "
5,Tuesday,"Sunny, with a high near 93."
6,Tuesday Night,"Mostly clear, with a low around 72."
7,Wednesday,"Sunny, with a high near 95."
8,Wednesday Night,"Mostly clear, with a low around 72."
9,Thursday,"Sunny, with a high near 92."
10,Thursday Night,"Mostly clear, with a low around 71."
11,Friday,"Mostly sunny, with a high near 89."
12,Friday Night,"Partly cloudy, with a low around 70."
13,Saturday,"Mostly sunny, with a high near 88."
