title,release_year,imdb_rating,position,pre_position,popularity
Knives Out,2019,7.9,1,12,INCREASED
365 dni,2020,3.3,2,4,INCREASED
The Old Guard,2020,6.7,3,3,NO CHANGE
Dil Bechara,2020,8.9,4,3,DECREASED
Jojo Rabbit,2019,7.9,5,85,INCREASED
Raat Akeli Hai,2020,7.4,6,31,INCREASED
Black Is King,2020,5.4,7,35,INCREASED
An American Pickle,2020,5.8,8,241,INCREASED
The Kissing Booth 2,2020,5.9,9,7,DECREASED
Hamilton,2020,8.8,10,10,NO CHANGE
Greyhound,2020,7.1,11,4,DECREASED
Palm Springs,2020,7.5,12,4,DECREASED
The Tax Collector,2020,4.7,13,656,INCREASED
Tenet,2020,NOT RATED,14,1,DECREASED
The Rental,2020,5.8,15,6,DECREASED
After We Collided,2020,NOT RATED,16,12,DECREASED
Eurovision Song Contest: The Story of Fire Saga,2020,6.6,17,6,DECREASED
Deep Blue Sea 3,2020,4.6,18,4,DECREASED
Lootcase,2020,7.8,19,156,INCREASED
The Kissing Booth,2018,6.0,20,15,DECREASED
Dune,2020,NOT RATED,21,6,DECREASED
Honest Thief,2020,NOT RATED,22,349,INCREASED
The Gentlemen,2019,7.9,23,5,DECREASED
Love,2015,6.1,24,2,DECREASED
Charlie's Angels,2019,4.7,25,25,DECREASED
Once Upon a Time... in Hollywood,2019,7.7,26,5,DECREASED
Joker,2019,8.5,27,2,DECREASED
Jurassic Park,1993,8.1,28,69,INCREASED
Unhinged,2020,6.2,29,11,DECREASED
I'm Thinking of Ending Things,2020,NOT RATED,30,3234,INCREASED
Avengers: Endgame,2019,8.4,31,2,DECREASED
The Outpost,2020,6.7,32,7,DECREASED
Waiting for the Barbarians,2019,5.9,33,1159,INCREASED
Gisaengchung,2019,8.6,34,4,DECREASED
Judas and the Black Messiah,2021,NOT RATED,35,6761,INCREASED
Wonder Woman 1984,2020,NOT RATED,36,12,DECREASED
Inception,2010,8.8,37,23,DECREASED
Train to Busan 2,2020,6.0,38,38,NO CHANGE
Mulan,2020,NOT RATED,39,50,INCREASED
Work It,2020,6.2,40,1961,INCREASED
Apocalypse Now,1979,8.4,41,169,INCREASED
Doctor Sleep,2019,7.4,42,2,DECREASED
The Hunt,2020,6.5,43,24,DECREASED
Little Women,2019,7.8,44,22,DECREASED
The Shawshank Redemption,1994,9.3,45,25,DECREASED
Interstellar,2014,8.6,46,13,DECREASED
The Secret Garden,2020,5.4,47,1392,INCREASED
The Godfather,1972,9.2,48,25,DECREASED
Cocoon,1985,6.7,49,2720,INCREASED
Shakuntala Devi,2020,6.3,50,21,DECREASED
The Secret: Dare to Dream,2020,6.3,51,57,INCREASED
Black Water: Abyss,2020,4.5,52,546,INCREASED
Sala samobójców. Hejter,2020,7.1,53,40,DECREASED
1917,2019,8.3,54,1,DECREASED
After,2019,5.4,55,24,DECREASED
Midsommar,2019,7.1,56,7,DECREASED
Harry Potter and the Sorcerer's Stone,2001,7.6,57,6,DECREASED
Ford v Ferrari,2019,8.1,58,19,DECREASED
Kajillionaire,2020,5.5,59,31,DECREASED
The Peanut Butter Falcon,2019,7.6,60,392,INCREASED
The Invisible Man,2020,7.1,61,9,DECREASED
Made in Italy,2020,5.5,62,753,INCREASED
"Yes, God, Yes",2019,5.9,63,39,DECREASED
Mad Max: Fury Road,2015,8.1,64,54,DECREASED
Twilight,2008,5.2,65,38,DECREASED
She Dies Tomorrow,2020,5.3,66,320,INCREASED
One Flew Over the Cuckoo's Nest,1975,8.7,67,145,INCREASED
Money Plane,2020,3.2,68,31,DECREASED
The Dark Knight,2008,9.0,69,5,DECREASED
Animal Crackers,2017,5.8,70,51,DECREASED
The Devil All the Time,2020,NOT RATED,71,3350,INCREASED
No Time to Die,2020,NOT RATED,72,9,DECREASED
Host,2020,6.7,73,691,INCREASED
Pride & Prejudice,2005,7.8,74,13,DECREASED
Vivarium,2019,5.8,75,1,DECREASED
Gone Girl,2014,8.1,76,93,INCREASED
Uncut Gems,2019,7.4,77,7,DECREASED
Bad Boys for Life,2020,6.7,78,14,DECREASED
Top Gun: Maverick,2021,NOT RATED,79,53,DECREASED
Top Gun,1986,6.9,80,160,INCREASED
The Matrix,1999,8.7,81,56,DECREASED
The New Mutants,2020,NOT RATED,82,37,DECREASED
The Goonies,1985,7.8,83,58,DECREASED
The Wolf of Wall Street,2013,8.2,84,43,DECREASED
Midway,2019,6.7,85,39,DECREASED
The Batman,2021,NOT RATED,86,1,DECREASED
Extraction,2020,6.7,87,22,DECREASED
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1,88,4,DECREASED
Scoob!,2020,5.7,89,21,DECREASED
MILF,2018,4.7,90,56,DECREASED
Trolls World Tour,2020,6.1,91,17,DECREASED
Inglourious Basterds,2009,8.3,92,33,DECREASED
Goodfellas,1990,8.7,93,31,DECREASED
Star Wars: Episode IX - The Rise of Skywalker,2019,6.6,94,17,DECREASED
Avengers: Infinity War,2018,8.4,95,45,DECREASED
X-Men: Apocalypse,2016,6.9,96,5,DECREASED
Thor: Ragnarok,2017,7.9,97,71,DECREASED
Back to the Future,1985,8.5,98,44,DECREASED
Legacy of Lies,2020,4.9,99,164,INCREASED
Pulp Fiction,1994,8.9,100,9,DECREASED
