title,release_year,imdb_rating,position,pre_position,popularity
The Umbrella Academy,2019,8.0,1,1,NO CHANGE
Raised by Wolves,2020,NOT RATED,2,2,NO CHANGE
Dark,2017,8.8,3,3,NO CHANGE
Fargo,2014,8.9,4,4,NO CHANGE
The Boys,2019,8.7,5,5,NO CHANGE
Yellowstone,2018,8.5,6,6,NO CHANGE
Cursed,2020,5.8,7,7,NO CHANGE
Perry Mason,2020,7.6,8,8,NO CHANGE
Game of Thrones,2011,9.3,9,9,NO CHANGE
Shameless,2011,8.6,10,10,NO CHANGE
The Office,2005,8.9,11,11,NO CHANGE
Lucifer,2016,8.2,12,12,NO CHANGE
Grey's Anatomy,2005,7.6,13,13,NO CHANGE
The 100,2014,7.7,14,14,NO CHANGE
Ratched,2020,NOT RATED,15,15,NO CHANGE
Breaking Bad,2008,9.5,16,16,NO CHANGE
Good Girls,2018,7.9,17,17,NO CHANGE
Vikings,2013,8.5,18,18,NO CHANGE
The Deceived,2020,5.6,19,19,NO CHANGE
Supernatural,2005,8.4,20,20,NO CHANGE
Criminal Minds,2005,8.1,21,21,NO CHANGE
Community,2009,8.5,22,22,NO CHANGE
Agents of S.H.I.E.L.D.,2013,7.5,23,23,NO CHANGE
Kingdom,2014,8.5,24,24,NO CHANGE
Schitt's Creek,2015,8.4,25,25,NO CHANGE
The Alienist,2018,7.7,26,26,NO CHANGE
La Casa de Papel,2017,8.4,27,27,NO CHANGE
The Walking Dead,2010,8.2,28,28,NO CHANGE
Doom Patrol,2019,8.0,29,29,NO CHANGE
Ozark,2017,8.4,30,30,NO CHANGE
Stranger Things,2016,8.8,31,31,NO CHANGE
Modern Family,2009,8.4,32,32,NO CHANGE
Peaky Blinders,2013,8.8,33,33,NO CHANGE
Friends,1994,8.9,34,34,NO CHANGE
Sons of Anarchy,2008,8.6,35,35,NO CHANGE
Euphoria,2019,8.3,36,36,NO CHANGE
Suits,2011,8.5,37,37,NO CHANGE
The Sopranos,1999,9.2,38,38,NO CHANGE
Glee,2009,6.7,39,39,NO CHANGE
New Girl,2011,7.7,40,40,NO CHANGE
The Fall,2013,8.2,41,41,NO CHANGE
The Big Bang Theory,2007,8.1,42,42,NO CHANGE
Outlander,2014,8.4,43,43,NO CHANGE
In the Dark,2019,7.4,44,44,NO CHANGE
The Last Kingdom,2015,8.4,45,45,NO CHANGE
American Horror Story,2011,8.0,46,46,NO CHANGE
Black Mirror,2011,8.8,47,47,NO CHANGE
Law & Order: Special Victims Unit,1999,8.0,48,48,NO CHANGE
Brooklyn Nine-Nine,2013,8.4,49,49,NO CHANGE
The Mandalorian,2019,8.7,50,50,NO CHANGE
Better Call Saul,2015,8.7,51,51,NO CHANGE
Brave New World,2020,7.1,52,52,NO CHANGE
The Blacklist,2013,8.0,53,53,NO CHANGE
Lost,2004,8.3,54,54,NO CHANGE
Westworld,2016,8.7,55,55,NO CHANGE
Norsemen,2016,7.8,56,56,NO CHANGE
NCIS: Naval Criminal Investigative Service,2003,7.8,57,57,NO CHANGE
Succession,2018,8.5,58,58,NO CHANGE
Avatar: The Last Airbender,2005,9.2,59,59,NO CHANGE
The Vampire Diaries,2009,7.7,60,60,NO CHANGE
Little Birds,2020,4.7,61,61,NO CHANGE
Warrior Nun,2020,6.9,62,62,NO CHANGE
Watchmen,2019,8.1,63,63,NO CHANGE
The Handmaid's Tale,2017,8.5,64,64,NO CHANGE
The Sinner,2017,8.0,65,65,NO CHANGE
The Witcher,2019,8.2,66,66,NO CHANGE
Parks and Recreation,2009,8.6,67,67,NO CHANGE
Line of Duty,2012,8.6,68,68,NO CHANGE
Bandish Bandits,2020,8.8,69,69,NO CHANGE
The Rain,2018,6.3,70,70,NO CHANGE
The Wire,2002,9.3,71,71,NO CHANGE
House M.D.,2004,8.7,72,72,NO CHANGE
Homeland,2011,8.3,73,73,NO CHANGE
Hannibal,2013,8.5,74,74,NO CHANGE
Upside-Down Magic,2020,4.4,75,75,NO CHANGE
Buffy the Vampire Slayer,1997,8.2,76,76,NO CHANGE
Doctor Who,2005,8.6,77,77,NO CHANGE
Dexter,2006,8.6,78,78,NO CHANGE
Stargirl,2020,7.3,79,79,NO CHANGE
How I Met Your Mother,2005,8.3,80,80,NO CHANGE
Star Trek: The Next Generation,1987,8.6,81,81,NO CHANGE
How to Get Away with Murder,2014,8.1,82,82,NO CHANGE
Condor,2018,7.8,83,83,NO CHANGE
Sherlock,2010,9.1,84,84,NO CHANGE
True Detective,2014,9.0,85,85,NO CHANGE
Chernobyl,2019,9.4,86,86,NO CHANGE
Dark Desire,2020,6.3,87,87,NO CHANGE
Prison Break,2005,8.3,88,88,NO CHANGE
Transformers: War for Cybertron,2020,7.6,89,89,NO CHANGE
Absentia,2017,7.3,90,90,NO CHANGE
Once Upon a Time,2011,7.7,91,91,NO CHANGE
Hanna,2019,7.5,92,92,NO CHANGE
The Crown,2016,8.7,93,93,NO CHANGE
Snowpiercer,2020,6.7,94,94,NO CHANGE
Rick and Morty,2013,9.2,95,95,NO CHANGE
Bones,2005,7.8,96,96,NO CHANGE
Gilmore Girls,2000,8.1,97,97,NO CHANGE
Mad Men,2007,8.6,98,98,NO CHANGE
The Flash,2014,7.7,99,99,NO CHANGE
Midsomer Murders,1997,7.7,100,100,NO CHANGE
