rank,title,release_year,imdb_rating
1,Planet Earth II,2016,9.5
2,Planet Earth,2006,9.4
3,Band of Brothers,2001,9.4
4,Breaking Bad,2008,9.4
5,Chernobyl,2019,9.4
6,The Wire,2002,9.3
7,Blue Planet II,2017,9.3
8,Our Planet,2019,9.2
9,Cosmos: A Spacetime Odyssey,2014,9.2
10,Cosmos,1980,9.2
11,Game of Thrones,2011,9.2
12,Avatar: The Last Airbender,2005,9.2
13,Rick and Morty,2013,9.2
14,The Last Dance,2020,9.2
15,The Sopranos,1999,9.2
16,The World at War,1973,9.1
17,Life,2009,9.1
18,Hagane no renkinjutsushi,2009,9.1
19,The Vietnam War,2017,9.1
20,Sherlock,2010,9.1
21,The Twilight Zone,1959,9.0
22,The Beatles Anthology,1995,9.0
23,Human Planet,2011,9.0
24,Sahsiyet,2018,9.0
25,The Blue Planet,2001,9.0
26,Batman: The Animated Series,1992,9.0
27,Frozen Planet,2011,9.0
28,Firefly,2002,9.0
29,Dekalog,1989,8.9
30,True Detective,2014,8.9
31,The Civil War,1990,8.9
32,Death Note: Desu nôto,2006,8.9
33,Apocalypse: La 2ème guerre mondiale,2009,8.9
34,Fargo,2014,8.9
35,Kaubôi bibappu,1998,8.9
36,Africa,2013,8.9
37,When They See Us,2019,8.9
38,Last Week Tonight with John Oliver,2014,8.9
39,TVF Pitchers,2015,8.9
40,Hunter x Hunter,2011,8.8
41,Only Fools and Horses....,1981,8.8
42,The Office,2005,8.8
43,Friends,1994,8.8
44,Ramayan,1987,8.8
45,Das Boot,1985,8.8
46,Monty Python's Flying Circus,1969,8.8
47,Gravity Falls,2012,8.8
48,Seinfeld,1989,8.8
49,Pride and Prejudice,1995,8.8
50,How the Universe Works,2010,8.8
51,Black Mirror,2011,8.8
52,Nathan for You,2013,8.8
53,Twin Peaks,1990,8.8
54,Over the Garden Wall,2014,8.8
55,One Punch Man: Wanpanman,2015,8.8
56,Narcos,2015,8.8
57,Dark,2017,8.8
